komentar,sentimen,preprocessing_result
mudah dimengerti dalam memberikan materi,2,mudah erti dalam beri materi
Harus ada trik/tips meningkatkan minat belajar mahasiswa,0,harus ada trik tips tingkat minat ajar mahasiswa
Memberikan contoh dengan baik dan rinci,2,beri contoh dengan baik dan rinci
Sulit dipahami jika menjelaskan materi di white board,0,sulit paham jika jelas materi di white board
Semoga kedepannya lebih baik,0,moga depan lebih baik
"Harus memberikan contoh secara detail dipapan, tulisan mohon diperbesar",0,harus beri contoh cara detail papan tulis mohon besar
Pahami mahasiswa dengan baik tapi over all ibu keren kok:),1,paham mahasiswa dengan baik tapi over all ibu keren kok
Apabila menjelaskan sebaiknya menggunakan kata yang mudah dimengerti jangan terlalu tinggi penggunaan bahasanya,0,apabila jelas baik guna kata yang mudah erti jangan terlalu tinggi guna bahasa
Penjelasan saat mengajar masih global jadi saya sering tidak bisa bila menerapkannya pada suatu kasus,0,jelas saat ajar masih global jadi saya sering tidak bisa bila terap pada suatu kasus
Hadapi dengan senyuman!!,0,hadap dengan senyum
Beri contoh kasus kadang contoh kasus kurang dipahami,0,beri contoh kasus kadang contoh kasus kurang paham
Cemumut Ibu,0,cemumut ibu
Selalu sabar dan tetap semangat bu!!! Cemungut,0,selalu sabar dan tetap semangat bu cemungut
"Tolong lebih detail dalam menjelaskan , diberi contoh, jangan secara umum",0,tolong lebih detail dalam jelas beri contoh jangan cara umum
Sudah baik dalam Mengajar,2,sudah baik dalam ajar
Good,2,good
Sudah lebih baik,2,sudah lebih baik
No Coment,1,no coment
lebih Tepat waktu memulai perkuliahannya,0,lebih tepat waktu mulai kuliah
Kalau menjelaskan yang lebih detail dan harus bisa memberi solusi,0,kalau jelas yang lebih detail dan harus bisa beri solusi
Contoh pada materi yang disampaikan seharusnya lebih sederhana dan mudah di mengerti,0,contoh pada materi yang sampai harus lebih sederhana dan mudah di erti
Ibunya sangat memehami materi dalam proses belajar mengajar bagus banget....,2,ibu sangat ham materi dalam proses ajar ajar bagus banget
"Tingkatkan Terus,metode sudah sangat baik",2,tingkat terus metode sudah sangat baik
Dalam mengajar ibu sangat TOP BGT,2,dalam ajar ibu sangat top bgt
Mungkin bisa ditambahkan beberapa jenis contohcontoh program pada setiap materi perkuliahan agar lebih variasi,0,mungkin bisa tambah beberapa jenis contohcontoh program pada tiap materi kuliah agar lebih variasi
Perbanyak tugas untuk melatih kinerja mahasiswa,0,banyak tugas untuk latih kerja mahasiswa
Lebih banyak memberikan contoh saat selesai menerangkan,0,lebih banyak beri contoh saat selesai terang
Tingkatkan Kwalitas Pembelajaran,0,tingkat kwalitas ajar
Terima Kasih,2,terima kasih
Perkuliahannya di tingkatkan,0,kuliah di tingkat
Tidak ada komentar,1,tidak ada komentar
The best buat pak ardi,2,the best buat pak ardi
Saya harap bisa lebih baik lagi,0,saya harap bisa lebih baik lagi
Pertahankan Cemungut...cemungut...,1,tahan cemungut cemungut
Saran : Bapak yang sangat mendidik harus tetap dipertahankan pak,2,saran bapak yang sangat didik harus tetap tahan pak
Teruslah menjadi diri sendiri keep smile a arigato,2,terus jadi diri sendiri keep smile a arigato
Kalau bisa saat memberikan materi jangan terlalu cepat menjelaskan ....?,0,kalau bisa saat beri materi jangan terlalu cepat jelas
"Cara dosen mengajar kurang dapat dimengerti/jelas cara belajar kurang efektif, perlu contoh yg leih jelas &mendetail; lagi",0,cara dosen ajar kurang dapat erti jelas cara ajar kurang efektif perlu contoh yg leih jelas detail lagi
Lebih Jelas lagi pak jelasinnya..........hehehe.....,0,lebih jelas lagi pak jelasinnya hehehe
Dosen Menjelaskan Terlalu Cepat,0,dosen jelas terlalu cepat
"Dalam menjelaskan agak terlalu cepat, penilaian semoga menguntungkan siswa",0,dalam jelas agak terlalu cepat nilai moga untung siswa
Lanjutkan dan tingkatkan kualitas pembelajaran jangan ngasih tugas yang susahsusah,0,lanjut dan tingkat kualitas ajar jangan ngasih tugas yang susahsusah
Cara mengajar dosen kurang dapat di pahami,0,cara ajar dosen kurang dapat di paham
Memahami kemampuan mahasiswa dlm menerima materi,0,paham mampu mahasiswa dlm terima materi
Masih bingung dalam menerapkan program,0,masih bingung dalam terap program
"Lebih banyak lagi memeberi motivasi untuk mahasiswa, selalu tepat waktu",2,lebih banyak lagi memeberi motivasi untuk mahasiswa selalu tepat waktu
"Tepat waktu tidak pernah inhal, pemberian motivasi cukup membangun",2,tepat waktu tidak pernah inhal beri motivasi cukup bangun
Selalu memberikan semangat belajar kepada para mahasiswa,2,selalu beri semangat ajar kepada para mahasiswa
Dosen seharusnya lebih santai agar mahasiswa dapat mempelajarinya,0,dosen harus lebih santai agar mahasiswa dapat ajar
dengan ini saya sarankan kepada ibu guru agar mengajarnya tdk terlalu serius,0,dengan ini saya saran kepada ibu guru agar ajar tdk terlalu serius
Ibu tolong terangkannya di kasi pelanpean bu....,0,ibu tolong terang di kasi pelanpean bu
Ibu sangat kreativ jadi dosen,2,ibu sangat kreativ jadi dosen
Jangan terlalu cepat memberikan penjelasan,0,jangan terlalu cepat beri jelas
semangat!!,0,semangat
Ibu harus lebih baik dan lebih baik lagi good luck....!,0,ibu harus lebih baik dan lebih baik lagi good luck
Mengajarnya jangan terlalu cepat,0,ajar jangan terlalu cepat
Tingkatkan,0,tingkat
Tingkatkan!!,0,tingkat
Lanjutkan,2,lanjut
Bagus mengajarnya dan tingkatkan,2,bagus ajar dan tingkat
Tugasnya jangan yang panjangpanjang bu !!,0,tugas jangan yang panjangpanjang bu
Kurangi tugas,0,kurang tugas
"Cocok jd dosen logika inform, lucu dan memberikan materi dgn sabar & jelas.",2,cocok jd dosen logika inform lucu dan beri materi dgn sabar jelas
Karena mata kuliah bhs ind. mungkin bagi kebanyakan mhs kurang begitu menarik bagi kalangan jurusan t. inf. khususnya maka lebih kepada berikan pertanyaan pada mhs,0,karena mata kuliah bhs ind mungkin bagi banyak mhs kurang begitu tarik bagi kalang jurus t inf khusus maka lebih kepada ikan tanya pada mhs
Ibu jgn galak2 dong kalo lagi ngajar,0,ibu jgn galak2 dong kalo lagi ngajar
"Asik perkuliannya, disiplin waktu",2,asik kuli disiplin waktu
Kasih banyak contoh bu !!,0,kasih banyak contoh bu
"Cara mengajar sudah cukup bagus, lebih ditingkatkan .....",2,cara ajar sudah cukup bagus lebih tingkat
Tolong bu bagiin hasil UTS.,0,tolong bu bagiin hasil uts
Agar terus mengembangkan,0,agar terus kembang
Jangan ngasih banyak tugas,0,jangan ngasih banyak tugas
"Punten, bagikan hasil ujian.",0,punten bagi hasil uji
Good !!,2,good
Pengajarannya gak usah terburu2 ya.,0,ajar gak usah terburu2 ya
Lanjutkan....,2,lanjut
Tetap dipertahankan,2,tetap tahan
Bu tolong terangkannya pelan2.,0,bu tolong terang pelan2
Kasihan sama mahasiswa bu....,0,kasihan sama mahasiswa bu
Memberikan contoh yg mudah dipahami.,0,beri contoh yg mudah paham
Ditingkatkan terus kualitas dosen pengajar agar akreditasinya naik  lus ciyuss lho,0,tingkat terus kualitas dosen ajar agar akreditasi naik lus ciyuss lho
"Kalau menulis jangan terlalu cepat Bu, menjelaskannya juga terlalu cepat",0,kalau tulis jangan terlalu cepat bu jelas juga terlalu cepat
Logika cool.....,2,logika cool
Tambah humoris lagi dong Bu...!,0,tambah humoris lagi dong bu
Good !!!,2,good
Dosen yg cool... pokoknya..,2,dosen yg cool pokok
"Ganbate  kudasai, Sensei",2,ganbate dasa sensei
Tingkatkan lagi prestasinya.,0,tingkat lagi prestasi
"Joss !! Getar , membahana badai..",2,joss getar bahana badai
Maju terus !!!,2,maju terus
Getar membahana badai gelombang !!,2,getar bahana badai gelombang
Tingkatkan,0,tingkat
Ciyus...,2,ciyus
Best Dosen 2-112 !,2,best dosen 2-112
Keep Istiqomah dalam menjalankan amanah sebagai seorang dosen.,2,keep istiqomah dalam jalan amanah bagai orang dosen
Sangat baik cara mengajarnya.,2,sangat baik cara ajar
Soal ujian akhirnya jangan susahsusah yaa bu...,0,soal uji akhir jangan susahsusah yaa bu
Tetap ngajar di uad.,2,tetap ngajar di uad
semangat buu,2,semangat buu
Lanjutkan....,2,lanjut
Cukup baik bu... terimakasih,2,cukup baik bu terimakasih
Cemungut...,2,cemungut
Tolong Penjelasannya thd soal lbh jelas dan banyak.,0,tolong jelas thd soal lbh jelas dan banyak
Berikan lebih banyak contoh.,0,ikan lebih banyak contoh
Siip keren,2,siip keren
"Dijelaskan dg praktiknya, spt maple, raptor, dll dlm mengajar.",0,jelas dg praktik spt maple raptor dll dlm ajar
Tetap semangat ngajarnya,2,tetap semangat ngajarnya
Penyampaian materi di dlm kelas jgn terlalu cepat. ada bbrp mhs yg kurang bisa menangkap materi.,0,sampai materi di dlm kelas jgn terlalu cepat ada bbrp mhs yg kurang bisa tangkap materi
Sangat memberi motivasi,2,sangat beri motivasi
Penyampaian materi sudah cukup baik.,2,sampai materi sudah cukup baik
"Jgn terlalu cepat, krn kadang mhs kurang memahami",0,jgn terlalu cepat krn kadang mhs kurang paham
Tetap,1,tetap
Cara mengajarnya bisa Masuk,2,cara ajar bisa masuk
"Penyampaian materi mohon diperjelas, usahakan agar mhs cepat menagkap apa yg disampaikan",0,sampai materi mohon jelas usaha agar mhs cepat menagkap apa yg sampai
bikin gak mood !!,0,bikin gak mood
Bosen...,0,bosen
Gak asik banget,0,gak asik banget
Materi gak jelas,0,materi gak jelas
Kurang jelas dalam menyampiakan materi,0,kurang jelas dalam menyampiakan materi
Bikin ngantuk,0,bikin ngantuk
Kurang jelas dalam menerangkan materi sehingga bikin bete,0,kurang jelas dalam terang materi sehingga bikin bete
No komen !!! Instrospeksi,0,no komen instrospeksi
Diet donk...!,0,diet donk
Dosen nggak jelas,0,dosen nggak jelas
Tetap semangat & tetap tersenyum.,2,tetap semangat tetap senyum
 penggantikuliah yg kosong jangan tgl 31 desember  mau dolan kita semua....,0,penggantikuliah yg kosong jangan tgl 31 desember mau dolan kita semua
oke,2,oke
Bikin males alias ngantuk,0,bikin males alias ngantuk
Top banget,2,top banget
sadis !!!,0,sadis
Tambah pusing bahasa inggrisnya,0,tambah pusing bahasa inggris
Bagus Lanjutkan Pak,2,bagus lanjut pak
hancur dah...,0,hancur dah
Terimakasih utk dosen Alin Tolong di tingkatkan,0,terimakasih utk dosen alin tolong di tingkat
elok,2,elok
lanjutkan Pak,2,lanjut pak
"Dari pilihan saya , anda bisa menyimpulkan",1,dari pilih saya anda bisa simpul
berikan contoh yg lebih banyak lagi,0,ikan contoh yg lebih banyak lagi
terlalu sempurna untuk di komentari,2,terlalu sempurna untuk di komentar
Mungkin untuk materi berbasa inggria lebih baik diterjemahkan untuk memudahkan mhs yg blm terlalu mahir bhs inggria,0,mungkin untuk materi basa inggria lebih baik terjemah untuk mudah mhs yg blm terlalu mahir bhs inggria
Tingkatkan cara mengajarnya....,0,tingkat cara ajar
saya sangat suka dengan cara mengajar bapak,2,saya sangat suka dengan cara ajar bapak
Perlu ditingkatkan agar lebih baik.,0,perlu tingkat agar lebih baik
Lanjutkan,2,lanjut
Lanjutkan...!!,2,lanjut
Slalu gunakan metode belajar saat ini karena mhs.menyukainya,2,slalu guna metode ajar saat ini karena mhs suka
Tingkatkan lagi....!!,0,tingkat lagi
joos,2,joos
Penjelasan materi harap didetailkan dengancontohcontoh yg mudah dimengerti,0,jelas materi harap detail dengancontohcontoh yg mudah erti
"Ibu itu kolok lg jelasin kita, ibu itu suka maksa dg kata lain kita belum setuju ibu sudah ya ya aja.",0,ibu itu kolok lg jelasin kita ibu itu suka maksa dg kata lain kita belum tuju ibu sudah ya ya aja
"Diusahakan tdk ada kuliah kosong, sehingga ada kuliah tambahan krn bagi saya kurang efektif kuliah malam hari.",0,usaha tdk ada kuliah kosong sehingga ada kuliah tambah krn bagi saya kurang efektif kuliah malam hari
Terlalu ribet dlm menjelaskan suatu contoh.,0,terlalu ribet dlm jelas suatu contoh
Cukup Susah dimengerti ketika menjelaskan suatu contoh.,0,cukup susah erti ketika jelas suatu contoh
Mengerti pelajaran tetapi susah menjawab soal.,0,erti ajar tetapi susah jawab soal
Ditingkatkan lagi cara penjelasannya.,0,tingkat lagi cara jelas
"Kalau bisa lebih ditingkatkan, karena sekarang sudah bagus. MUANTAP",2,kalau bisa lebih tingkat karena sekarang sudah bagus muantap
Mantap,2,mantap
Cairkan suasana segingga kita tidak tegang,0,cair suasana segingga kita tidak tegang
Keren !!,2,keren
"Tingkatkan lagi bu, kalau bisa menampilkan slidenya lebih lama... cemungud bu",0,tingkat lagi bu kalau bisa tampil slidenya lebih lama cemungud bu
Sebaiknya menciptakan suasana yang menyenangkan sehingga tidak terlalu tegang dalam berlangsungnya perkuliahan.,0,baik cipta suasana yang senang sehingga tidak terlalu tegang dalam langsung kuliah
"Buatlah suasana kelas menjadi enjoy saat perkuliahan berlangsung, karena sering kali kelas terasa tegang saat perkuliahan berlangsung sehingga materi mudah diterima mahasiswa dengan baik.",0,buat suasana kelas jadi enjoy saat kuliah langsung karena sering kali kelas asa tegang saat kuliah langsung sehingga materi mudah terima mahasiswa dengan baik
"Mungkin hanya terlalu cepat saja saat ibu mengajar, sebaiknya diperlambat supaya mahasiswa lebih mudah memahami materi",0,mungkin hanya terlalu cepat saja saat ibu ajar baik lambat supaya mahasiswa lebih mudah paham materi
"Buatlah suasana kelas dalam perkuliahan menjadi enjoy, karena sering kali suasana kelas terasas tegang",0,buat suasana kelas dalam kuliah jadi enjoy karena sering kali suasana kelas asas tegang
"Cara menyampaikan materi bagus, tetapi agak membosankan",1,cara sampai materi bagus tetapi agak bosan
Beri nilai yg terbaik bagi mhs biar cepat lulus,0,beri nilai yg baik bagi mhs biar cepat lulus
Pilih yg terbaik untuk mhs tetap semangay untuk memberi nilai baik. Jangan menjadi musuh mhs,0,pilih yg baik untuk mhs tetap semangay untuk beri nilai baik jangan jadi musuh mhs
Apabila mengajar suasananya jangan menegangkan dan apabila ditanyai mahasiswa menjawabnya jangan terlalu sadis,0,apabila ajar suasana jangan tegang dan apabila tanya mahasiswa jawab jangan terlalu sadis
Jadilah teman buat mhs agar mereka dapat bahagiagia,0,jadi teman buat mhs agar mereka dapat bahagiagia
Is the best pokoknya dosen wali yg paling baik,2,is the best pokok dosen wali yg paling baik
kurang mengkondisikan kelas sehingga yg mudengmudeng banget yg enggakenggak banget,0,kurang kondisi kelas sehingga yg mudengmudeng banget yg enggakenggak banget
Buat suasana belajar lebih asik,0,buat suasana ajar lebih asik
Good Job !,2,good job
Dalam Mengajar agak terlalu cepat mungkin bisa di perlambat sedikit supaya materi yang disampaikan tersampaikan kepada mahasiswa,0,dalam ajar agak terlalu cepat mungkin bisa di lambat sedikit supaya materi yang sampai sampai kepada mahasiswa
Sebaiknya ibu memberi bermacammacam contoh sehingga kita tidak kebalikbalik dengan beragam soal. dan jangan selalu memperhatikan yang pintarpintar terus.,0,baik ibu beri bermacammacam contoh sehingga kita tidak kebalikbalik dengan agam soal dan jangan selalu perhati yang pintarpintar terus
"Lebih meningkatkan minat belajar mahasiswa, agar mahasiswa lebih mudah memahami.",0,lebih tingkat minat ajar mahasiswa agar mahasiswa lebih mudah paham
"Jadikan suasana kelas jangan terlalu tegang sehingga dalam penyerapan materi dapat secara serius, santai.",0,jadi suasana kelas jangan terlalu tegang sehingga dalam serap materi dapat cara serius santai
"Mohon diperhatikan dalam pemberian soal saat UTS karena kemrin sampai bisa salah soal , bukankah dlm pembuatan soal ada pengechekan terlebih dahulu ??",0,mohon perhati dalam beri soal saat uts karena kemrin sampai bisa salah soal bukankah dlm buat soal ada pengechekan lebih dahulu
"Dosen dalam mengajar sudah baik, akan tetapi dalam memberikan contoh kurang begitu banyak sehingga kurang memahami.",1,dosen dalam ajar sudah baik akan tetapi dalam beri contoh kurang begitu banyak sehingga kurang paham
Lanjutkan !!!,2,lanjut
Jangan membedabedakan mahasiswa yang satu dengan yang lainnya,0,jangan membedabedakan mahasiswa yang satu dengan yang lain
"Suasana kelas dibuat santai, jangan menegangkan.",0,suasana kelas buat santai jangan tegang
Ok !!!,2,ok
"Dosen memberikan materi dalam matakuliah cukup baik dan mudah untuk dimengerti, sehingga cukup untuk meningkatkan belajar para mahasiswa",2,dosen beri materi dalam matakuliah cukup baik dan mudah untuk erti sehingga cukup untuk tingkat ajar para mahasiswa
Tidak boleh pilih kasih,0,tidak boleh pilih kasih
No coment !! dosen ini layak !!,2,no coment dosen ini layak
Shipz,2,shipz
"Buat suasana yang menyenangkan dalam belajar, jangan membuat mahasiswa terlalu tegang",0,buat suasana yang senang dalam ajar jangan buat mahasiswa terlalu tegang
Over all good performance !!,2,over all good performance
"Buat suasana dikelas menjadi nyaman dan menyenangkan saat kegiatan belajar, jangan membuat mahasiswa terlalu tegang.",0,buat suasana kelas jadi nyaman dan senang saat giat ajar jangan buat mahasiswa terlalu tegang
Beliau sebenarnya,1,beliau benar
"Akan lebih baik jika dalam perkuliahan diadakan diskusi, karena mata kuliah ini menyangkut etika dan penerapannya",0,akan lebih baik jika dalam kuliah ada diskusi karena mata kuliah ini sangkut etika dan terap
Jangan membedabedakan.,0,jangan membedabedakan
Perkuliahan etika sudah efektif joss !!,2,kuliah etika sudah efektif joss
Saya tidak mengasih saran kepada ibu krn penjelasan ibu dan cara mengajar ibu sudah sangat baik,2,saya tidak asih saran kepada ibu krn jelas ibu dan cara ajar ibu sudah sangat baik
Menjelaskan lebih menyeluruh,0,jelas lebih seluruh
Mohon untuk tidak terlambat !,0,mohon untuk tidak lambat
Ayoo bu tambah semangat biar mhs juga ikutan semangat,0,ayoo bu tambah semangat biar mhs juga ikut semangat
baik dalam mengajar,2,baik dalam ajar
Dosen lebih tegas mengecek absensi ulang,0,dosen lebih tegas ecek absensi ulang
Lanjutkan.......,2,lanjut
Semangat ....,0,semangat
Terus semangat bu !,0,terus semangat bu
"Konsisten jika membuat kesepakatan, misal : keterlambatan mahasiswa 15 menit.",0,konsisten jika buat sepakat misal lambat mahasiswa 15 menit
Kalau bisa ada tugas prakteknya agar mahasiswa lebih paham tentang dunia kewirausahaan,0,kalau bisa ada tugas praktek agar mahasiswa lebih paham tentang dunia kewirausahaan
Jangan Pelitpelit nilai ya bu....,0,jangan pelitpelit nilai ya bu
Banyak beri contoh dalam penjelasan materi,0,banyak beri contoh dalam jelas materi
Mudahkan nilai bu...!,0,mudah nilai bu
"Jika mengajar lebih aplikatif lagi... dengan berikan kasuskasus dilapangan yang real, jika perlu di tambah dengan tugas ke lapangan secara real...",0,jika ajar lebih aplikatif lagi dengan ikan kasuskasus lapang yang real jika perlu di tambah dengan tugas ke lapang cara real
Dalam mengenal mahasiswa mohon jgn objektif dan monoton ituitu saja,0,dalam kenal mahasiswa mohon jgn objektif dan monoton ituitu saja
Menjelaskan materi terlalu serius sehingga kurang menarik mahasiswa untuk memahami terlalu dalam,0,jelas materi terlalu serius sehingga kurang tarik mahasiswa untuk paham terlalu dalam
Semoga saya dapat nilai yang sangat baik,0,moga saya dapat nilai yang sangat baik
Semoga Kami Mendapat nilai yang bagus agar lulus di mata kuliah etika profesi,0,moga kami dapat nilai yang bagus agar lulus di mata kuliah etika profesi
Ruang ber AC bu....,0,ruang ber ac bu
Mencatatnya terlalu banyak,0,catat terlalu banyak
Tepat waktu,0,tepat waktu
Lebih baik lagi,0,lebih baik lagi
agar ditingkatkan lagi,0,agar tingkat lagi
sangat baik untuk memberikan materi kuliah,2,sangat baik untuk beri materi kuliah
Penjelasan materi diharapkan jangan terlalu cepat,0,jelas materi harap jangan terlalu cepat
Selamat anda mendapat nilai 3-1,0,selamat anda dapat nilai 3-1
Still Fine,2,still fine
sudah cukup baik,2,sudah cukup baik
Sudah cukup baik hanya perlu ditingkatkan lagi agar lebih baik,1,sudah cukup baik hanya perlu tingkat lagi agar lebih baik
Perbaiki kekurangan  pertahankan yang baik,1,baik kurang tahan yang baik
"Lebih ditingkatkan lagi karena sekarang sdh bagus, good luck...",2,lebih tingkat lagi karena sekarang sdh bagus good luck
sangat baik,2,sangat baik
Good job ,2,good job
mantap...!!!,2,mantap
semangat ibu dan tambah semangat dan terimakasih,0,semangat ibu dan tambah semangat dan terimakasih
"sangat menyenangkan Bu, suasana kelas menjadi lebih tenang tapi tetap serius dan mengasyikkan ....",2,sangat senang bu suasana kelas jadi lebih tenang tapi tetap serius dan asyik
Perfect !!!,2,perfect
Pak UAS nya tolong open book ya ??,1,pak uas nya tolong open book ya
Nyalon jadi kaprodi aja Pak / open book,1,nyalon jadi kaprodi aja pak open book
Lanjutkan Pak!!,2,lanjut pak
Alhamdulillah bagus.,2,alhamdulillah bagus
"Sangat menarik dengan wejanganwejangandari bapak, yang neginspirasi. Terimakasih untuk kesabaran bapak membimbing angkatan 2-111",2,sangat tarik dengan wejanganwejangandari bapak yang neginspirasi terimakasih untuk sabar bapak bimbing angkat 2-111
Pada saat menjelaskan saya minta bapak untuk menjelaskan secara pelanpelan,0,pada saat jelas saya minta bapak untuk jelas cara pelanpelan
Sedikit Ngantuk pak..,0,sedikit ngantuk pak
Contoh mengaplikasian dalam kehidupan seharihari!,0,contoh aplikasi dalam hidup seharihari
Penjelasan tentang contoh soalnya pak...,0,jelas tentang contoh soal pak
"Tingkatkan lagi proses mengajar, agar mahasiswa",0,tingkat lagi proses ajar agar mahasiswa
Good Job Pak. Tambah guyonan ya pak kalo kuliah biar gak ngantuk,2,good job pak tambah guyon ya pak kalo kuliah biar gak ngantuk
"Penjelasan Materi dan contohcontoh soal terlalu cepat menjelaskannya, sehingga kurang dimengerti",0,jelas materi dan contohcontoh soal terlalu cepat jelas sehingga kurang erti
"Kalau senin pagi, jangan jam 7 pas dong pak mulainya setengah 8 kek.",0,kalau senin pagi jangan jam 7 pas dong pak mulai tengah 8 kek
Kurang Praktek,0,kurang praktek
Menjelaskan dengan mengitung ulang contoh yang ada/dijelaskan cara mengerjakan soal.,0,jelas dengan mengitung ulang contoh yang ada jelas cara kerja soal
Terimakasih bapak yang telah ............,2,terimakasih bapak yang telah
ditambahkan permainanpermainan yang menarik pak.,0,tambah permainanpermainan yang tarik pak
Untuk kedepannya soalnya jangan susahsusah ya pak,0,untuk depan soal jangan susahsusah ya pak
Pak soalnya jangan susahsusah ya ??,0,pak soal jangan susahsusah ya
Lebih di jelaskan lagi dengan jelas dan mengerjakan soal bersama.,0,lebih di jelas lagi dengan jelas dan kerja soal sama
Agar dipertegas dalam mengajar,0,agar tegas dalam ajar
Lebih semangat lagi dalam proses belajarmengajar sehingga mahasiswanya juga ikutan semangat ya pak....,0,lebih semangat lagi dalam proses belajarmengajar sehingga mahasiswa juga ikut semangat ya pak
Cara mengajarnya perlu diperbaiki lagi pak biar bisa menambah semangat belajar.,0,cara ajar perlu baik lagi pak biar bisa tambah semangat ajar
Mohon dimengerti mhs kalo memang ga paham jgn dipaksa lgsg paham dgn sesingkat ini,0,mohon erti mhs kalo memang ga paham jgn paksa lgsg paham dgn singkat ini
