komentar,sentimen,preprocessing_result
"Lanjutkan Kedisiplinan bapak moga"" mahasiswa bisa mengikuti kedisiplinan yang bapak terapkan dikehidupan bapak",2,lanjut disiplin bapak moga mahasiswa bisa ikut disiplin yang bapak terap hidup bapak
metode pembelajaran yang kurang baik,0,metode ajar yang kurang baik
jangan bolos kami sudah bayar.,0,jangan bolos kami sudah bayar
"Lbh disiplin waktu perkuliahan, jika memang merencanakan jam kosong, hrp ngabari, agar mhs tdk sia2 dikampus.",0,lbh disiplin waktu kuliah jika memang rencana jam kosong hrp ngabari agar mhs tdk sia2 kampus
"Sebaiknya dosen mengembalikan tugas yg telah dikoreksi kpd mhs, agar mhs dpt mengetahui materi2 yg belum dikuasasi.",0,baik dosen kembali tugas yg telah koreksi kpd mhs agar mhs dpt tahu materi2 yg belum asasi
metode mengajar paling buruk yg pernah ada di dunia Forum diskusi antar mhs tidak akan berpengaruh karena pengetahuan rata2 sama . Pesen harusnya menyajikan materi terlebih dahulu baru membuka forum diskusi,0,metode ajar paling buruk yg pernah ada di dunia forum diskusi antar mhs tidak akan pengaruh karena tahu rata2 sama sen harus saji materi lebih dahulu baru buka forum diskusi
Mohon utk menampilkan contoh materi yg real agar mhs dpt secara mudah memahami. dan mhn berikan referensi spy kami bisa lebih mengejar materi yg serupa & berhub.,0,mohon utk tampil contoh materi yg real agar mhs dpt cara mudah paham dan mhn ikan referensi spy kami bisa lebih kejar materi yg rupa berhub
Suka...!,2,suka
Saya harap agar memahami mhs yg terbatas berpikir bukan hanya ada struktur data yg ada tugas yg juga perlu !!!,0,saya harap agar paham mhs yg batas pikir bukan hanya ada struktur data yg ada tugas yg juga perlu
"Penyampaian materi yg sering tdk dimengerti, pemberian contoh yg jelas.",0,sampai materi yg sering tdk erti beri contoh yg jelas
"Terus tingkatkan, tapi kalau mengajar jangan terlalu cepat...!!!",0,terus tingkat tapi kalau ajar jangan terlalu cepat
Mohon utk menjelaskan materi yg ada dgn jelas krn mhs kurang begitu paham.,0,mohon utk jelas materi yg ada dgn jelas krn mhs kurang begitu paham
Dalam menerangkan materi perkuliahan dimohon untuk tidak terlalu cepat..!!,0,dalam terang materi kuliah mohon untuk tidak terlalu cepat
Semangat,0,semangat
No Coment !!!,1,no coment
Lebih banyak diberikan latihan soal.,0,lebih banyak beri latih soal
Semangat diajar bu el...,2,semangat ajar bu el
Semangat 45 pak,0,semangat 45 pak
Terlalu disiplin bikin mahaiswa mudah bosan,0,terlalu disiplin bikin mahaiswa mudah bosan
tingkatkan,2,tingkat
"Lanjutkan, kuasai kelas dengan baik.",0,lanjut kuasa kelas dengan baik
"Klu memang tdk  bisa datang harap menghubungi ketua kelas, sehingga kami tdk hrs menunggu tanpa kejelasan.",0,klu memang tdk bisa datang harap hubung ketua kelas sehingga kami tdk hrs tunggu tanpa jelas
Lanjutkan !!!,2,lanjut
Bingung dosennya gantiganti Tapi tidak apaapa asal nilai mantap Kalau bisa dosennya ynag me0ap !!!,0,bingung dosen gantiganti tapi tidak apaapa asal nilai mantap kalau bisa dosen ynag me0ap
ngantuk buuu....,0,ngantuk buuu
kecerdasan buatan kelas D dosennya kurang banyak !!!!,0,cerdas buat kelas d dosen kurang banyak
jangan terlalu banyak paki dosen cadangan,0,jangan terlalu banyak paki dosen cadang
Hak mhs menuntut kebijakan tanggung jawabnya membayar kuliah,0,hak mhs tuntut bijak tanggung jawab bayar kuliah
Dosennya jangan gantiganti !!!!!,0,dosen jangan gantiganti
Pertahankan,2,tahan
"Cara mengatar terlalu cepat, terkadang mengerti terkadang tidak.",0,cara atar terlalu cepat terkadang erti terkadang tidak
Mohon jika menjelaskan materi diperjelas.,0,mohon jika jelas materi jelas
Lanjutkan,2,lanjut
Perpaduan slide kurang menarik diperbaiki lagi,0,padu slide kurang tarik baik lagi
Jangan terlalu cepat untuk menjelaskan materi,0,jangan terlalu cepat untuk jelas materi
No Comment,1,no comment
Pelajaran Fisika kurang efektif jika menggunakan Elearning.,0,ajar fisika kurang efektif jika guna elearning
"Materi yg dijelaskan sudah baik, perbanyak soalsoal.",1,materi yg jelas sudah baik banyak soalsoal
No coment,1,no coment
Sudah sangat jelas dan sangat menguasai materi dan dlm sistem perkuliahan.,2,sudah sangat jelas dan sangat kuasa materi dan dlm sistem kuliah
"Jangan seringsering ganti dosen, soalnya membuat mhs bingung mengikuti cara belajar dosen yg berbedabeda",0,jangan seringsering ganti dosen soal buat mhs bingung ikut cara ajar dosen yg berbedabeda
"Materinya terlalu banyak, Agak rumit dicerna....",0,materi terlalu banyak agak rumit cerna
kurang disiplin ! penguasaan materi bagus,0,kurang disiplin kuasa materi bagus
Dosen sdh cukup profesional dalam bidang pengajaran mata kuliah ini.,2,dosen sdh cukup profesional dalam bidang ajar mata kuliah ini
Untuk lebih berurutan dalam menyajikan materi kuliah agar meningkatkan minat belajar mahasiswa,0,untuk lebih rurut dalam saji materi kuliah agar tingkat minat ajar mahasiswa
Saran saya sih gak usah cepet,0,saran saya sih gak usah cepet
Sudah cukup baik,2,sudah cukup baik
Semangat 45 bu,0,semangat 45 bu
Lebih tingkatkan cara mengajar yang mudah di pahami,0,lebih tingkat cara ajar yang mudah di paham
Keep smile,2,keep smile
"Tingkatkan cara penjelasan bu, jangan terlalu cepat.",0,tingkat cara jelas bu jangan terlalu cepat
Tingkatkan lagi cara mengajar yang simple jelas danmudah dimengerti para mahasiswa,0,tingkat lagi cara ajar yang simple jelas danmudah erti para mahasiswa
Jangan seringsering kosong/diganti dosen lain karena membuat bingung mhs dalam beradaptasi dgn dosendosen yg berganti ganti dlm penyampaian materi,0,jangan seringsering kosong ganti dosen lain karena buat bingung mhs dalam adaptasi dgn dosendosen yg ganti ganti dlm sampai materi
Kegiatan pembelajaran sudah baik,2,giat ajar sudah baik
Kalau memberi materi jangan terlalu keburuburu dan jangan terlalu cepat. diharapkan santai kalm,0,kalau beri materi jangan terlalu keburuburu dan jangan terlalu cepat harap santai kalm
Saat pembelajaran di tambahi sedikit humor,0,saat ajar di tambah sedikit humor
Semoga bisa mengajar lebih baik lagi,0,moga bisa ajar lebih baik lagi
"Tetap semangat bu, walaupun jarak kampus 2 dan 3 cukup jauh. Semoga nambah rezeki amin...",0,tetap semangat bu walaupun jarak kampus 2 dan 3 cukup jauh moga nambah rezeki amin
Sebaiknya udah terlalu cepat dalam penyampaian materi,0,baik udah terlalu cepat dalam sampai materi
Bersabar untuk meningkatkan semangat mahasiswa untuk lebih baik,0,sabar untuk tingkat semangat mahasiswa untuk lebih baik
Tugas TP AI bila ditentunkan hrsnya mhs dieri waktu pemahaman karena TP nya dicontohkan mhs hrs belajar lebih jauh materi yg blm diterangkan sehingga lebih sulit,0,tugas tp ai bila ditentunkan hrsnya mhs dieri waktu paham karena tp nya contoh mhs hrs ajar lebih jauh materi yg blm terang sehingga lebih sulit
kurang joss,0,kurang joss
Sambil memberi materi kuliah juga harus ada sedikit guyinan agar tidak terlalu tegang dalam belajar,0,sambil beri materi kuliah juga harus ada sedikit guyinan agar tidak terlalu tegang dalam ajar
jadwal kepagian,0,jadwal pagi
gonta ganti dosen !!!!!,0,gonta ganti dosen
Jangan terlalu cepat untuk menyampaikan/menjelaskan matakuliah,0,jangan terlalu cepat untuk sampai jelas matakuliah
Mohon dalam pemberian materi agak dipelankan karena mungkin masih ada mahasiswa yang kurang cepat menangkap materi tersebut,0,mohon dalam beri materi agak pelan karena mungkin masih ada mahasiswa yang kurang cepat tangkap materi sebut
Tetap Semangat,0,tetap semangat
Makasih bu guru !!,2,makasih bu guru
Good job! well done !,2,good job well done
Jangan seing terlambat ya buk!!,0,jangan seing lambat ya buk
The best,2,the best
JOS,2,jos
Semoga....!,1,moga
Good !,2,good
Jgn Pelit nilai dong pak...hehehe,0,jgn pelit nilai dong pak hehehe
Asik loo bu !!,2,asik loo bu
Cukup nyaman...!!,2,cukup nyaman
Maju terus pantang mundur selalu bersemangat.,2,maju terus pantang mundur selalu semangat
Mantap!!!,2,mantap
Alur pembelajaran terlalu cepat,0,alur ajar terlalu cepat
Well Done,2,well done
Good Job !!,2,good job
Usaha yang baik dari ibu,2,usaha yang baik dari ibu
Lanjutkan,2,lanjut
Maju terus,2,maju terus
Latihan Soalnya di perbanyak lagi. pleace!,0,latih soal di banyak lagi pleace
"Tolong cari solusi bu, nuat jelasin pelajaran ke anakanak semacam saya (susah nangkap materi)",0,tolong cari solusi bu nuat jelasin ajar ke anakanak macam saya susah nangkap materi
Balikin hasil tugas kami.,0,balikin hasil tugas kami
Terlalu sering memberi tugas sama mahasiswa akan membuat mahaiswa menjadi tidak ada nafsu masuk pada pelajaran tertentu/yang diajarkan,0,terlalu sering beri tugas sama mahasiswa akan buat mahaiswa jadi tidak ada nafsu masuk pada ajar tentu yang ajar
"Harus lebih tegas dalam mengajar, karena kelas kami kadangkadang berisik.",0,harus lebih tegas dalam ajar karena kelas kami kadangkadang berisik
Lanjutkan !!,2,lanjut
Tolong berikan materi sebelum praktikum. pleace...,0,tolong ikan materi belum praktikum pleace
Lanjutkan!,2,lanjut
Tingkatkan lagi cara mengajarnya dan cobalah untuk melakukan refresing dengan bercandacanda.,0,tingkat lagi cara ajar dan coba untuk laku refresing dengan bercandacanda
"Cara mengajarnya sabar dan asyik, banyak materi kalkulus yang belum di jelaskan apakah karena ""waktu""?",2,cara ajar sabar dan asyik banyak materi kalkulus yang belum di jelas apakah karena waktu
"Jangan terlalu serius jika mengajar, jadinya mahasiswa itu cepat bosan... dan jangan terlalu kasih PR kami juga punya tugas lain, nanti numpuk.",0,jangan terlalu serius jika ajar jadi mahasiswa itu cepat bosan dan jangan terlalu kasih pr kami juga punya tugas lain nanti numpuk
Pertahankan prestasinya ya...,2,tahan prestasi ya
Materi pembelajaran kurang jelas. dan apa yang di inginkan mahasiswa. sebab materinya harus lebih terperinci.,0,materi ajar kurang jelas dan apa yang di ingin mahasiswa sebab materi harus lebih perinci
"Ilmu itu penting, menjelaskan dengan sabar ""bagus"" TAPI materi yang diberikan harus tuntas. Sudah bayar MAHAL materi kuliah harus diberikan semuanya walaupun mahasiswa kurang mengerti, namun materi itu utama.",0,ilmu itu penting jelas dengan sabar bagus tapi materi yang beri harus tuntas sudah bayar mahal materi kuliah harus beri semua walaupun mahasiswa kurang erti namun materi itu utama
"Diharapkan kepada Dosen lebih bisa mengondisikan kelas jangan biarkan mahasiswa ngomong sendiri di saat menjelaskan/menerangkan materi kuliah, semoga mampu ...!",0,harap kepada dosen lebih bisa kondisi kelas jangan biar mahasiswa ngomong sendiri di saat jelas terang materi kuliah moga mampu
Lebih dan perjelas dalam penyampaiannya,0,lebih dan jelas dalam sampai
OK,2,ok
No Coment,1,no coment
Lebih jelas dan jangan terlalu mutermuter jelasinnya,0,lebih jelas dan jangan terlalu mutermuter jelasinnya
Bu mohon penjelasnnya yang bisa di mengerti oleh mahasiswa. bu!,0,bu mohon penjelasnnya yang bisa di erti oleh mahasiswa bu
Ibu kalau ngajar yang santai dan jangan tersendatsendat dong.,0,ibu kalau ngajar yang santai dan jangan tersendatsendat dong
Kalau bisa nilai kami bagusbagus amin,1,kalau bisa nilai kami bagusbagus amin
Tolonh soalsoal yng diberikan ditambah dan diberi jawaban yang jelas,0,tolonh soalsoal yng beri tambah dan beri jawab yang jelas
Soal UAS nya jangan susahsusah bu,1,soal uas nya jangan susahsusah bu
Nilanya A semua,2,nila a semua
"Ibunya menjelaskan sangat jelas, Dosen yg baik",2,ibu jelas sangat jelas dosen yg baik
No kritik,2,no kritik
Dosen ku baik...!,2,dosen ku baik
Bagus...,2,bagus
Tingkatkan lagi cara mengajarnya,0,tingkat lagi cara ajar
tingkatkan,0,tingkat
Good,2,good
"Sebaiknya waktu yng diberikan dalam perkuliahan lebih sedikit lama,karena waktu dari dosen kurang lama jadi kurang bisa membuat mhwa memahami materi",0,baik waktu yng beri dalam kuliah lebih sedikit lama karena waktu dari dosen kurang lama jadi kurang bisa buat mhwa paham materi
Jangan terlalu sering memberi Tugas !!,0,jangan terlalu sering beri tugas
No Coment ...!,1,no coment
"untuk mapel ini, saya mengharapkan utk ada penambahan ja, dikarenakan banyak mhs. yang kurang memahami materi karena keterbatasan waktu",0,untuk mapel ini saya harap utk ada tambah ja karena banyak mhs yang kurang paham materi karena batas waktu
Penyampaian materi dalam perkuliahan diperjelas lagi,0,sampai materi dalam kuliah jelas lagi
Dosen memberikan materi dengan baik dan mudah dimengerti,2,dosen beri materi dengan baik dan mudah erti
untuk datang lebih tepat waktu,0,untuk datang lebih tepat waktu
Sudah lebih baik tapi perlu ditingkatkan lagi agar lebih baik,1,sudah lebih baik tapi perlu tingkat lagi agar lebih baik
 No Saran/ kritik,1,no saran kritik
"Cara mengajar yng bagus, tidak bikin suntuk. Oke lah, menurut Saya",2,cara ajar yng bagus tidak bikin suntuk oke lah turut saya
Ngajarnya pake senyum dong Pak biar tambah ganteng juga ,0,ngajarnya pake senyum dong pak biar tambah ganteng juga
lebih banyak latihan soal biar lebih menguassai materi saat pelajaran,0,lebih banyak latih soal biar lebih menguassai materi saat ajar
Noise atau intonasi suara saat mengajar lebih dikeraskan saja biar lebih jelas,0,noise atau intonasi suara saat ajar lebih keras saja biar lebih jelas
Memberikan latihan sebelum UTS/UAS,0,beri latih belum uts uas
Lebih Meningkatkan minat belajar mahasiswa,0,lebih tingkat minat ajar mahasiswa
Tingkatkan cara mengajar,0,tingkat cara ajar
kalau ngajar Bapak senyum dikit dong ....!!,0,kalau ngajar bapak senyum dikit dong
Referensi ditambah yg bhs Indonesia ya Pak...!,0,referensi tambah yg bhs indonesia ya pak
( Mungut Eah....!! Semangat....!1,0,mungut eah semangat 1
Beri mhs.Nilai baik jangan persulit Mhs.,0,beri mhs nilai baik jangan sulit mhs
Slide materi menggunakan bahasa indonesia...,0,slide materi guna bahasa indonesia
Jangan membuat mhs. tkut dengan anda,0,jangan buat mhs tkut dengan anda
Mata kuliah ini sebenarnya sangat menarik tapi sayang bapaknya kurang ada interaksi dgn mhs jadi tidak jarang jika ada saja mhs yg tertidur karena mereka serasa didongengkan....,0,mata kuliah ini benar sangat tarik tapi sayang bapak kurang ada interaksi dgn mhs jadi tidak jarang jika ada saja mhs yg tidur karena mereka serasa dongeng
sip,2,sip
ok,2,ok
lanjutkan,2,lanjut
Saran aja Pak untuk perkuliahan berikutnya harus ada inovasi lagi biar mhs ga' tidur ga' bosen atau kabur peace Pak .....,0,saran aja pak untuk kuliah ikut harus ada inovasi lagi biar mhs ga tidur ga bosen atau kabur peace pak
"Bapak kalau mengajar terlalu monoton , jadi terkesan seperti sedang pidato/ceramah makanya mhs jadi kurang respect pada mata kuliah ini . Mhs uad dgn ugm berbeda Pak, maaf Pak",0,bapak kalau ajar terlalu monoton jadi kes seperti sedang pidato ceramah makanya mhs jadi kurang respect pada mata kuliah ini mhs uad dgn ugm beda pak maaf pak
"Bapak kalau ngajar agak monoton kayak cuma pidato didepan doang, jadi temen2 yg denger banyak yg jadi bosen , Maaf hal ini yg kami rasakan selama bapak ngajar....",0,bapak kalau ngajar agak monoton kayak cuma pidato depan doang jadi temen2 yg denger banyak yg jadi bosen maaf hal ini yg kami rasa lama bapak ngajar
"Tepat waktu dong , lama nunggunya...",0,tepat waktu dong lama nunggunya
Lebih ditingkatkan lagi kalau adzan berhenti buk...,0,lebih tingkat lagi kalau adzan henti buk
kurang tepat waktu tapi lumayan....,0,kurang tepat waktu tapi lumayan
Tingkatkan ketepatan waktu,0,tingkat tepat waktu
" kenapa tak pernah datang tepat waktu ? pdhl waktu pertemuan I mhs dihimbau agr tdk ambil prak. seblm matkul ini agar tdk ada keterlambatan, tapi ketika pertemuan selanjutnya Ibu Ning sendiri yg selalu terlambat...",0,kenapa tak pernah datang tepat waktu pdhl waktu temu i mhs dihimbau agr tdk ambil prak seblm matkul ini agar tdk ada lambat tapi ketika temu lanjut ibu ning sendiri yg selalu lambat
Ngangenin...,2,ngangenin
gemesin...,2,gemesin
Ibu Katanya pintar...,0,ibu kata pintar
Senyum itu indah...,0,senyum itu indah
Beri nilai yang baik !!,0,beri nilai yang baik
Tingkatkan ketepatan waktu,0,tingkat tepat waktu
Mohon jangan suka telat bu..!,0,mohon jangan suka telat bu
No coment !!!,1,no coment
waktu,1,waktu
Jangan sering kosong dobk Bu dan aharap masuk tepat waktu... Lanjutkan !!,0,jangan sering kosong dobk bu dan aharap masuk tepat waktu lanjut
Lanjutkan!!!,2,lanjut
Keep Spirit  !!!,2,keep spirit
Penyampaian materi kurang dimengerti....,0,sampai materi kurang erti
Kasih nilai yang bagus ya Bu !!,1,kasih nilai yang bagus ya bu
Mengajarnya lebih semangat lagiya bu jangan telat...,0,ajar lebih semangat lagiya bu jangan telat
Kalo kasih soal jangan banyak2 dong !!!,0,kalo kasih soal jangan banyak2 dong
Tepat waktu dong,0,tepat waktu dong
dosen mutungan (ngambek). Smile pak,0,dosen mutung ngambek smile pak
Tingkatkan lagi,0,tingkat lagi
Semangat...,0,semangat
Tingkatkan cara mengajar yang simpel dan mudah dimengerti...,0,tingkat cara ajar yang simpel dan mudah erti
Terlalu monoton dalam menjelaskan,0,terlalu monoton dalam jelas
Pak Taufiq Cakep dah  ,2,pak taufiq cakep dah
saya harapkan bpk dosen lebih memperhatikan para mhs. karena dalam proses belajar mengajar banyak mhs.yng kurang memperhatikan,0,saya harap bpk dosen lebih perhati para mhs karena dalam proses ajar ajar banyak mhs yng kurang perhati
Tugas kurang banyaK,0,tugas kurang banyak
terimakasih atas ilmunya,2,terimakasih atas ilmu
Terimakasih atas ilmunya ....!,2,terimakasih atas ilmu
Dosen yang mengagumkan kami suka cara Anda mengajar...,2,dosen yang kagum kami suka cara anda ajar
Tidak/jarang memberikan jeda istirahat pada Mhs.,0,tidak jarang beri jeda istirahat pada mhs
"Agar supaya meningkatkan cara mengajarnya , agar lebih baik..!",0,agar supaya tingkat cara ajar agar lebih baik
No komen !,1,no komen
bUAT DOSENNYA TETAP MEMPERTAHANKAN CARA MENGAJARNYA Tengs,2,buat dosen tetap tahan cara ajar tengs
Terlalu cepat dlm mengajar apalagi materi kalkulus menurut saya tidak bisa dipahami secara cepatcepat,0,terlalu cepat dlm ajar apalagi materi kalkulus turut saya tidak bisa paham cara cepatcepat
Jelasin materinya pelenpelan ya bapak,0,jelasin materi pelenpelan ya bapak
dIMOHON DOSEN DAPAT LEBIH MENGUASAI KELAS SEHINGGA MHS DAPAT LEBIH MEMAHAMI MATERI YG DISAMPAIKAN oke,0,mohon dosen dapat lebih kuasa kelas sehingga mhs dapat lebih paham materi yg sampai oke
"Bagi pak dosen agar lebih meningkatkan mutu belajar dan mengajar, sehingga mhs. mampu cepat &tanggap; dari materi yng diberikan",0,bagi pak dosen agar lebih tingkat mutu ajar dan ajar sehingga mhs mampu cepat tanggap dari materi yng beri
Bapak terlalu cepat kalau menjelaskan materi,0,bapak terlalu cepat kalau jelas materi
berharap bapak lebih menguasai mahasiswa,0,harap bapak lebih kuasa mahasiswa
sEMANGAT UNTUK pAK tAUFIQ...,0,semangat untuk pak taufiq
Kurang jelas dalam menjelaskan,0,kurang jelas dalam jelas
"Kurangnya soal latihan, penyampaiannya terlalu cepat",0,kurang soal latih sampai terlalu cepat
Menjelaskan materinya jangan terlalu cepat Pak,0,jelas materi jangan terlalu cepat pak
"Kalau ngajar jangan terlalu cepat Pak, ynglainnya sudah baik",1,kalau ngajar jangan terlalu cepat pak ynglainnya sudah baik
Waktu menjelaskazn atau menerangkan terlalu cepat,0,waktu menjelaskazn atau terang terlalu cepat
terlalu cepat dalam menjelaskan,0,terlalu cepat dalam jelas
"Cara menjelaskan jangan terlalu cepat,beri waktu utk memahami yng telah dijelaskan baru melanjutkan ke hal berikutnya",0,cara jelas jangan terlalu cepat beri waktu utk paham yng telah jelas baru lanjut ke hal ikut
Jangan terlalu cepat menjelaskan materi,0,jangan terlalu cepat jelas materi
Dalam menjelaskan mata kuliah terlalu cepat jadi saya lumayan sulit memahami,0,dalam jelas mata kuliah terlalu cepat jadi saya lumayan sulit paham
good job,2,good job
cara menjelaskannya terlalu cepat dan saya sulit memahaminya,0,cara jelas terlalu cepat dan saya sulit paham
Jozz !!,2,jozz
"Lanjutkan, cetar membahana",2,lanjut cetar bahana
Sanghat bagus,2,sanghat bagus
Dosen ini bagus,2,dosen ini bagus
Dalam menjelaskan materi jangan terlalu cepat,0,dalam jelas materi jangan terlalu cepat
Tingkatkan,0,tingkat
Lebih cepat memberikan bahan/tmateri kuliah sehingga dapat dipelajari terlebih dahulu dirumah,0,lebih cepat beri bahan tmateri kuliah sehingga dapat ajar lebih dahulu rumah
Tolong menjelaskan materi dengan secara perlahan dan masuklah tepat waktu makasih,0,tolong jelas materi dengan cara perlahan dan masuk tepat waktu makasih
No Coment,1,no coment
jangan selalu tunjuk mahasiswa untuk menjawab pertanyaan,0,jangan selalu tunjuk mahasiswa untuk jawab tanya
Lanjutkan!!,2,lanjut
Dipertahankan!!,2,tahan
Kurangi menunjuknunjuk Mhs,0,kurang menunjuknunjuk mhs
Lebih mengurangi untuk menunjuknunjuk mahasiswa,0,lebih kurang untuk menunjuknunjuk mahasiswa
Cara mengajarnya kurang baik dan penjelasannya kurang menguasai. diubah cara mengajarnya buk,0,cara ajar kurang baik dan jelas kurang kuasa ubah cara ajar buk
Jangan menunjuknunjuk,0,jangan menunjuknunjuk
dimohon masuk kelas tepat waktu kurangi menunjuknunjuk mahasiswa,0,mohon masuk kelas tepat waktu kurang menunjuknunjuk mahasiswa
"Dosen yg Jenius dan baik hati, dosen lain mesti ky gini ngajarnya biar mhs cepat lulus, bukan dipersulit.",2,dosen yg jenius dan baik hati dosen lain mesti ky gin ngajarnya biar mhs cepat lulus bukan sulit
Jangan terlambat memulai perkuliahan,0,jangan lambat mulai kuliah
Jangan selalu menunjuk mahasiswa,0,jangan selalu tunjuk mahasiswa
Mantab dan lanjutkan!!,2,mantab dan lanjut
Jangan menunjuk mahasiswa bu,0,jangan tunjuk mahasiswa bu
Bapak sangat baik !!!,2,bapak sangat baik
no coment,1,no coment
Jangan seringsering memberi pertanyaan dan tugas,0,jangan seringsering beri tanya dan tugas
sip,2,sip
No coment,1,no coment
pertahankan,2,tahan
dosen ini menerangkan dengan baik tapi agak galak,2,dosen ini terang dengan baik tapi agak galak
Bu jam PKN nya lama bikin ngantuk,0,bu jam pkn nya lama bikin ngantuk
no coment,1,no coment
Mulai dan mengakhiri perkuliahan secara tepat waktu,0,mulai dan akhir kuliah cara tepat waktu
Jangan sering telat ya pak 11,0,jangan sering telat ya pak 11
Mengajar sudah baik dan harus tepat waktu,2,ajar sudah baik dan harus tepat waktu
Keep Spirit,2,keep spirit
Lanjutkan !,2,lanjut
Kami mengharapkan agar dosen lebih sedikit tepat waktu .jika terlambat maka mohon pulangnya dipercepat,0,kami harap agar dosen lebih sedikit tepat waktu jika lambat maka mohon pulang cepat
Tambah semangat lagi bu dan Terima kasih atas kesabaran ibu...,2,tambah semangat lagi bu dan terima kasih atas sabar ibu
"Suadh cukup baik, tapi saya mau kuliahnya yang lebih dari cuman materi di kelas, selain presentasi",1,suadh cukup baik tapi saya mau kuliah yang lebih dari cuman materi di kelas selain presentasi
Sangat memuaskan dengan cara pengajaran ibu. Terimakasih karena ibu bersedia membimbing kami,2,sangat muas dengan cara ajar ibu terimakasih karena ibu sedia bimbing kami
Sudah cukup baik dalam mengajarnya,2,sudah cukup baik dalam ajar
Cara mengajarnya bagus dan materinya sangat bermanfaat.,2,cara ajar bagus dan materi sangat manfaat
memberikan motivasi sebelum matakuliah berlangsung untuk menambah minat belajar mahasiswa,2,beri motivasi belum matakuliah langsung untuk tambah minat ajar mahasiswa
